0	0
4	0
8	0
12	0
16	0
20	0
24	0
28	134
32	624
36	1099
40	1562
44	2007
48	2438
52	2866
56	3269
60	3649
64	4020
68	4371
72	4699
76	4998
80	5290
84	5557
88	5780
92	5988
96	6190
100	6349
104	6486
108	6594
112	6693
116	6754
120	6781
124	6796
128	6776
132	6730
136	6664
140	6558
144	6446
148	6289
152	6113
156	5920
160	5692
164	5444
168	5173
172	4884
176	4577
180	4228
184	3878
188	3500
192	3108
196	2687
200	2263
204	1827
208	1377
212	896
216	429
220	0
224	0
228	0
232	0
236	0
240	0
244	0
248	0
252	0
256	0
260	0
264	0
268	0
